52000080; 91 012 ; 128 000 ;-36 988;-29 %; 184,50 ;111,8 %
52000393; 193 850 ; 148 650 ;45 200;30 %; 204,00 ;123,6 %
52000455; 169 400 ; 145 200 ;24 200;17 %; 192,50 ;116,7 %
52000249; 110 560 ; 106 080 ;4 480;4 %; 140,50 ;89,2 %
52000452; 78 775 ; 132 000 ;-53 226;-40 %; 158,50 ;96,1 %
52000245; 123 023 ; 157 420 ;-34 398;-22 %; 104,00 ;63,0 %
52000438; 167 727 ; 185 955 ;-18 228;-10 %; 163,00 ;98,8 %
52000282; 150 220 ; 148 190 ;2 030;1 %; 148,00 ;98,7 %
52000433; 80 028 ; 65 425 ;14 603;22 %; 126,50 ;76,7 %
52000372; 142 475 ; 113 775 ;28 700;25 %; 139,00 ;84,2 %
52000322; 108 125 ; 7 875 ;100 250;1273 %; 100,00 ;60,6 %
52000381; 143 505 ; 78 570 ;64 935;83 %; 140,00 ;84,8 %
52000026; 169 860 ; 188 100 ;-18 240;-10 %; 149,00 ;90,3 %
52000208; 145 080 ; 94 500 ;50 580;54 %; 144,50 ;87,6 %
